order_id,sku,order_date,sale_price,quantity,commission,shipping_cost,packaging_cost,ad_cost,payment_fee,is_returned,return_cost
C-001,SP-001,2026-05-15,499,1,64,45,8,28,9,False,0
C-002,SP-001,2026-05-14,499,1,64,45,8,34,9,False,0
C-003,SP-001,2026-05-13,499,1,64,45,8,34,9,True,55
C-004,SP-002,2026-05-12,399,1,54,42,8,26,7,False,0
C-005,SP-002,2026-05-11,399,1,54,42,8,30,7,True,55
C-006,SP-002,2026-05-10,399,2,108,58,12,48,14,False,0
C-007,SP-003,2026-05-09,389,1,53,48,9,32,7,False,0
C-008,SP-003,2026-05-08,389,1,53,48,9,35,7,True,55
C-009,SP-003,2026-05-07,389,1,53,48,9,32,7,False,0
C-010,SP-004,2026-05-06,179,3,57,38,12,11,5,False,0
C-011,SP-004,2026-05-05,179,2,38,34,8,9,4,False,0
C-012,SP-005,2026-05-04,329,1,43,39,7,18,6,False,0
