order_id,sku,order_date,sale_price,quantity,commission,shipping_cost,packaging_cost,ad_cost,payment_fee,is_returned,return_cost
HG-001,HG-001,2026-05-16,479,1,47.9,29,6,21.55,8.62,False,0
HG-002,HG-002,2026-05-15,169,1,16.9,29,6,7.6,3.04,False,0
HG-003,HG-003,2026-05-14,369,1,36.9,29,6,16.61,6.64,False,0
HG-004,HG-001,2026-05-13,479,1,47.9,29,6,21.55,8.62,False,0
HG-005,HG-002,2026-05-12,169,2,33.8,29,6,15.21,6.08,False,0
HG-006,HG-003,2026-05-11,369,1,36.9,29,6,16.61,6.64,False,0
HG-007,HG-001,2026-05-10,479,1,47.9,29,6,21.55,8.62,False,0
HG-008,HG-002,2026-05-09,169,1,16.9,29,6,7.6,3.04,False,0
HG-009,HG-003,2026-05-08,369,1,36.9,29,6,16.61,6.64,False,0
HG-010,HG-001,2026-05-07,479,1,47.9,29,6,21.55,8.62,False,0
HG-011,HG-002,2026-05-06,169,2,33.8,29,6,15.21,6.08,False,0
HG-012,HG-003,2026-05-05,369,1,36.9,29,6,16.61,6.64,False,0
HG-013,HG-001,2026-05-04,479,1,47.9,29,6,21.55,8.62,False,0
HG-014,HG-002,2026-05-03,169,1,16.9,29,6,7.6,3.04,False,0
HG-015,HG-003,2026-05-02,369,1,36.9,29,6,16.61,6.64,False,0
HG-016,HG-001,2026-05-01,479,1,47.9,29,6,21.55,8.62,False,0
HG-017,HG-002,2026-04-30,169,2,33.8,29,6,15.21,6.08,False,0
HG-018,HG-003,2026-04-29,369,1,36.9,29,6,16.61,6.64,False,0
HG-019,HG-001,2026-05-16,479,1,47.9,29,6,21.55,8.62,False,0
HG-020,HG-002,2026-05-15,169,1,16.9,29,6,7.6,3.04,False,0
HG-021,HG-003,2026-05-14,369,1,36.9,29,6,16.61,6.64,False,0
HG-022,HG-001,2026-05-13,479,1,47.9,29,6,21.55,8.62,False,0
HG-023,HG-002,2026-05-12,169,2,33.8,29,6,15.21,6.08,False,0
HG-024,HG-003,2026-05-11,369,1,36.9,29,6,16.61,6.64,False,0
