order_id,sku,order_date,sale_price,quantity,commission,shipping_cost,packaging_cost,ad_cost,payment_fee,is_returned,return_cost
IB-001,IB-001,2026-05-16,299,1,23.92,44,9,20.93,6.58,False,0
IB-002,IB-001,2026-05-15,299,2,47.84,44,18,41.86,13.16,True,62
IB-003,IB-002,2026-05-14,489,1,39.12,44,9,34.23,10.76,False,0
IB-004,IB-002,2026-05-13,489,1,39.12,44,9,34.23,10.76,True,62
IB-005,IB-003,2026-05-12,399,1,31.92,44,9,27.93,8.78,False,0
IB-006,IB-004,2026-05-11,749,1,59.92,44,9,52.43,16.48,False,0
IB-007,IB-004,2026-05-10,749,1,59.92,44,9,52.43,16.48,False,0
IB-008,IB-001,2026-05-09,299,3,71.76,44,27,62.79,19.73,False,0
IB-009,IB-003,2026-05-08,399,1,31.92,44,9,27.93,8.78,True,62
IB-010,IB-002,2026-05-07,489,1,39.12,44,9,34.23,10.76,False,0
