order_id,sku,order_date,sale_price,quantity,commission,shipping_cost,packaging_cost,ad_cost,payment_fee,is_returned,return_cost
O-1001,BT-001,2026-05-01,499,1,62,45,8,34,6,false,0
O-1002,BT-001,2026-05-02,499,1,62,45,8,34,6,false,0
O-1003,BT-001,2026-05-03,499,1,62,45,8,34,6,true,24
O-1004,BT-001,2026-05-04,499,2,124,68,12,55,12,false,0
O-1005,BT-001,2026-05-07,499,1,62,45,8,34,6,false,0
O-2001,TX-002,2026-05-01,249,3,63,44,12,38,8,false,0
O-2002,TX-002,2026-05-02,249,2,42,38,8,25,6,false,0
O-2003,TX-002,2026-05-05,249,4,84,52,15,49,11,true,18
O-2004,TX-002,2026-05-08,249,3,63,44,12,38,8,false,0
O-2005,TX-002,2026-05-10,249,6,126,70,20,74,16,false,0
O-3001,SP-003,2026-05-02,399,1,54,38,9,22,5,false,0
O-3002,SP-003,2026-05-05,399,1,54,38,9,22,5,false,0
O-3003,SP-003,2026-05-08,399,1,54,38,9,22,5,true,26
O-3004,SP-003,2026-05-11,399,1,54,38,9,22,5,false,0
O-4001,HM-004,2026-05-01,389,1,46,42,8,18,5,false,0
O-4002,HM-004,2026-05-04,389,2,92,58,12,36,9,false,0
O-4003,HM-004,2026-05-09,389,1,46,42,8,18,5,false,0
O-5001,KS-005,2026-05-01,129,4,31,38,10,12,4,false,0
O-5002,KS-005,2026-05-06,129,2,16,32,7,6,3,false,0
O-5003,KS-005,2026-05-09,129,1,8,28,5,3,2,false,0
